cube_band_index_0based,cube_band_index_1based,hyperion_band,center_wavelength_nm
0,1,10,447.17
1,2,11,457.34
2,3,12,467.52
3,4,13,477.69
4,5,14,487.87
5,6,15,498.04
6,7,16,508.22
7,8,17,518.39
8,9,18,528.57
9,10,19,538.74
10,11,20,548.92
11,12,21,559.09
12,13,22,569.27
13,14,23,579.45
14,15,24,589.62
15,16,25,599.80
16,17,26,609.97
17,18,27,620.15
18,19,28,630.32
19,20,29,640.50
20,21,30,650.67
21,22,31,660.85
22,23,32,671.02
23,24,33,681.20
24,25,34,691.37
25,26,35,701.55
26,27,36,711.72
27,28,37,721.90
28,29,38,732.07
29,30,39,742.25
30,31,40,752.43
31,32,41,762.60
32,33,42,772.78
33,34,43,782.95
34,35,44,793.13
35,36,45,803.30
36,37,46,813.48
37,38,47,823.65
38,39,48,833.83
39,40,49,844.00
40,41,50,854.18
41,42,51,864.35
42,43,52,874.53
43,44,53,884.70
44,45,54,894.88
45,46,55,905.05
46,47,82,962.91
47,48,83,972.99
48,49,84,983.08
49,50,85,993.17
50,51,86,1003.30
51,52,87,1013.30
52,53,88,1023.40
53,54,89,1033.49
54,55,90,1043.59
55,56,91,1053.69
56,57,92,1063.79
57,58,93,1073.89
58,59,94,1083.99
59,60,95,1094.09
60,61,96,1104.19
61,62,97,1114.19
62,63,102,1164.68
63,64,103,1174.77
64,65,104,1184.87
65,66,105,1194.97
66,67,106,1205.07
67,68,107,1215.17
68,69,108,1225.17
69,70,109,1235.27
70,71,110,1245.36
71,72,111,1255.46
72,73,112,1265.56
73,74,113,1275.66
74,75,114,1285.76
75,76,115,1295.86
76,77,116,1305.96
77,78,117,1316.05
78,79,118,1326.05
79,80,119,1336.15
80,81,134,1487.53
81,82,135,1497.63
82,83,136,1507.73
83,84,137,1517.83
84,85,138,1527.92
85,86,139,1537.92
86,87,140,1548.02
87,88,141,1558.12
88,89,142,1568.22
89,90,143,1578.32
90,91,144,1588.42
91,92,145,1598.51
92,93,146,1608.61
93,94,147,1618.71
94,95,148,1628.81
95,96,149,1638.81
96,97,150,1648.90
97,98,151,1659.00
98,99,152,1669.10
99,100,153,1679.20
100,101,154,1689.30
101,102,155,1699.40
102,103,156,1709.50
103,104,157,1719.60
104,105,158,1729.70
105,106,159,1739.70
106,107,160,1749.79
107,108,161,1759.89
108,109,162,1769.99
109,110,163,1780.09
110,111,164,1790.19
111,112,187,2022.25
112,113,188,2032.35
113,114,189,2042.45
114,115,190,2052.45
115,116,191,2062.55
116,117,192,2072.65
117,118,193,2082.75
118,119,194,2092.84
119,120,195,2102.94
120,121,196,2113.04
121,122,197,2123.14
122,123,198,2133.24
123,124,199,2143.34
124,125,200,2153.34
125,126,201,2163.43
126,127,202,2173.53
127,128,203,2183.63
128,129,204,2193.73
129,130,205,2203.83
130,131,206,2213.93
131,132,207,2224.03
132,133,208,2234.12
133,134,209,2244.22
134,135,210,2254.22
135,136,211,2264.32
136,137,212,2274.42
137,138,213,2284.52
138,139,214,2294.61
139,140,215,2304.71
140,141,216,2314.81
141,142,217,2324.91
142,143,218,2335.01
143,144,219,2345.11
144,145,220,2355.21
