cube_band_index_0based,cube_band_index_1based,wavelength_nm
0,1,362.59000
1,2,367.75000
2,3,372.90000
3,4,378.07000
4,5,383.23000
5,6,388.39000
6,7,393.55000
7,8,398.71000
8,9,403.87000
9,10,409.03000
10,11,414.19000
11,12,419.36000
12,13,424.52000
13,14,429.68000
14,15,434.84000
15,16,440.00000
16,17,445.16000
17,18,450.32000
18,19,455.48000
19,20,460.64000
20,21,465.80000
21,22,470.96000
22,23,476.12000
23,24,481.29000
24,25,486.45000
25,26,491.61000
26,27,496.77000
27,28,501.93000
28,29,507.09000
29,30,512.25000
30,31,517.41000
31,32,522.57000
32,33,527.73000
33,34,532.89000
34,35,538.06000
35,36,543.21000
36,37,548.38000
37,38,553.54000
38,39,558.70000
39,40,563.86000
40,41,569.02000
41,42,574.18000
42,43,579.34000
43,44,584.50000
44,45,589.66000
45,46,594.83000
46,47,599.99000
47,48,605.14000
48,49,610.31000
49,50,615.47000
50,51,620.63000
51,52,625.79000
52,53,630.95000
53,54,636.11000
54,55,641.27000
55,56,646.43000
56,57,651.59000
57,58,656.75000
58,59,661.92000
59,60,667.07000
60,61,672.24000
61,62,677.40000
62,63,682.56000
63,64,687.72000
64,65,692.88000
65,66,698.04000
66,67,703.20000
67,68,708.36000
68,69,713.52000
69,70,718.68000
70,71,723.85000
71,72,729.01000
72,73,734.17000
73,74,739.33000
74,75,744.49000
75,76,749.65000
76,77,754.81000
77,78,759.97000
78,79,765.13000
79,80,770.29000
80,81,775.45000
81,82,780.61000
82,83,785.78000
83,84,790.94000
84,85,796.10000
85,86,801.26000
86,87,806.42000
87,88,811.58000
88,89,816.74000
89,90,821.90000
90,91,827.06000
91,92,832.23000
92,93,837.38000
93,94,842.54000
94,95,847.71000
95,96,852.87000
96,97,858.03000
97,98,863.19000
98,99,868.35000
99,100,873.51000
100,101,878.67000
101,102,883.83000
102,103,888.99000
103,104,894.16000
104,105,899.31000
105,106,904.48000
106,107,909.64000
107,108,914.80000
108,109,919.96000
109,110,925.12000
110,111,930.28000
111,112,935.44000
112,113,940.60000
113,114,945.76000
114,115,950.92000
115,116,956.09000
116,117,961.25000
117,118,966.41000
118,119,971.57000
119,120,976.73000
120,121,981.89000
121,122,987.05000
122,123,992.21000
123,124,997.37000
124,125,1002.53000
125,126,1007.69000
126,127,1012.86000
127,128,1018.02000
