cube_band_index_0based,cube_band_index_1based,aviris_band_1based,wavelength_nm
0,1,1,365.9298
1,2,2,375.5940
2,3,3,385.2625
3,4,4,394.9355
4,5,5,404.6129
5,6,6,414.2946
6,7,7,423.9808
7,8,8,433.6713
8,9,9,443.3662
9,10,10,453.0655
10,11,11,462.7692
11,12,12,472.4773
12,13,13,482.1898
13,14,14,491.9066
14,15,15,501.6279
15,16,16,511.3535
16,17,17,521.0836
17,18,18,530.8180
18,19,19,540.5568
19,20,20,550.3000
20,21,21,560.0477
21,22,22,569.7996
22,23,23,579.5560
23,24,24,589.3168
24,25,25,599.0819
25,26,26,608.8515
26,27,27,618.6254
27,28,28,628.4037
28,29,29,638.1865
29,30,30,647.9736
30,31,31,657.7651
31,32,32,667.5610
32,33,33,655.7923
33,34,34,665.5994
34,35,35,675.4012
35,36,36,685.1979
36,37,37,694.9894
37,38,38,704.7756
38,39,39,714.5566
39,40,40,724.3325
40,41,41,734.1031
41,42,42,743.8685
42,43,43,753.6287
43,44,44,763.3837
44,45,45,773.1335
45,46,46,782.8781
46,47,47,792.6174
47,48,48,802.3516
48,49,49,812.0805
49,50,50,821.8043
50,51,51,831.5228
51,52,52,841.2361
52,53,53,850.9442
53,54,54,860.6471
54,55,55,870.3448
55,56,56,880.0372
56,57,57,889.7245
57,58,58,899.4066
58,59,59,909.0834
59,60,60,918.7551
60,61,61,928.4214
61,62,62,938.0827
62,63,63,947.7387
63,64,64,957.3895
64,65,65,967.0351
65,66,66,976.6755
66,67,67,986.3106
67,68,68,995.9406
68,69,69,1005.5650
69,70,70,1015.1850
70,71,71,1024.7990
71,72,72,1034.4080
72,73,73,1044.0120
73,74,74,1053.6110
74,75,75,1063.2040
75,76,76,1072.7930
76,77,77,1082.3760
77,78,78,1091.9540
78,79,79,1101.5260
79,80,80,1111.0940
80,81,81,1120.6560
81,82,82,1130.2130
82,83,83,1139.7650
83,84,84,1149.3110
84,85,85,1158.8530
85,86,86,1168.3890
86,87,87,1177.9200
87,88,88,1187.4460
88,89,89,1196.9660
89,90,90,1206.4820
90,91,91,1215.9920
91,92,92,1225.4970
92,93,93,1234.9960
93,94,94,1244.4910
94,95,95,1253.9800
95,96,96,1263.4640
96,97,97,1253.3730
97,98,98,1263.3460
98,99,99,1273.3180
99,100,100,1283.2910
100,101,101,1293.2620
101,102,102,1303.2340
102,103,103,1313.2060
103,104,104,1323.1770
104,105,105,1333.1480
105,106,106,1343.1190
106,107,107,1353.0890
107,108,113,1412.9080
108,109,114,1422.8770
109,110,115,1432.8450
110,111,116,1442.8140
111,112,117,1452.7820
112,113,118,1462.7500
113,114,119,1472.7180
114,115,120,1482.6850
115,116,121,1492.6520
116,117,122,1502.6190
117,118,123,1512.5860
118,119,124,1522.5520
119,120,125,1532.5180
120,121,126,1542.4840
121,122,127,1552.4500
122,123,128,1562.4160
123,124,129,1572.3810
124,125,130,1582.3460
125,126,131,1592.3110
126,127,132,1602.2750
127,128,133,1612.2400
128,129,134,1622.2040
129,130,135,1632.1670
130,131,136,1642.1310
131,132,137,1652.0940
132,133,138,1662.0570
133,134,139,1672.0200
134,135,140,1681.9830
135,136,141,1691.9450
136,137,142,1701.9070
137,138,143,1711.8690
138,139,144,1721.8310
139,140,145,1731.7920
140,141,146,1741.7530
141,142,147,1751.7140
142,143,148,1761.6750
143,144,149,1771.6350
144,145,150,1781.5960
145,146,151,1791.5560
146,147,152,1801.5150
147,148,153,1811.4750
148,149,168,1937.2460
149,150,169,1947.2920
150,151,170,1957.3350
151,152,171,1967.3750
152,153,172,1977.4140
153,154,173,1987.4500
154,155,174,1997.4840
155,156,175,2007.5150
156,157,176,2017.5450
157,158,177,2027.5720
158,159,178,2037.5960
159,160,179,2047.6190
160,161,180,2057.6390
161,162,181,2067.6560
162,163,182,2077.6720
163,164,183,2087.6850
164,165,184,2097.6960
165,166,185,2107.7040
166,167,186,2117.7100
167,168,187,2127.7140
168,169,188,2137.7160
169,170,189,2147.7150
170,171,190,2157.7120
171,172,191,2167.7070
172,173,192,2177.6990
173,174,193,2187.6890
174,175,194,2197.6770
175,176,195,2207.6620
176,177,196,2217.6450
177,178,197,2227.6260
178,179,198,2237.6040
179,180,199,2247.5810
180,181,200,2257.5540
181,182,201,2267.5260
182,183,202,2277.4950
183,184,203,2287.4620
184,185,204,2297.4270
185,186,205,2307.3890
186,187,206,2317.3490
187,188,207,2327.3070
188,189,208,2337.2620
189,190,209,2347.2160
190,191,210,2357.1670
191,192,211,2367.1150
192,193,212,2377.0610
193,194,213,2387.0050
194,195,214,2396.9470
195,196,215,2406.8860
196,197,216,2416.8230
197,198,217,2426.7580
198,199,218,2436.6900
199,200,219,2446.6200
200,201,220,2456.5480
201,202,221,2466.4730
202,203,222,2476.3960
203,204,223,2486.3170
