band,wavelength_nm
1,380.0
2,394.2553
3,408.51065
4,422.76596
5,437.02127
6,451.27658
7,465.53192
8,479.78723
9,494.04254
10,508.29788
11,522.55316
12,536.80853
13,551.06384
14,565.31915
15,579.57446
16,593.8298
17,608.0851
18,622.34045
19,636.59576
20,650.8511
21,665.1064
22,679.3617
23,693.617
24,707.8723
25,722.1277
26,736.383
27,750.6383
28,764.8936
29,779.1489
30,793.40424
31,807.65955
32,821.9149
33,836.1702
34,850.42554
35,864.68085
36,878.93616
37,893.19147
38,907.44684
39,921.70215
40,935.95746
41,950.21277
42,964.4681
43,978.7234
44,992.9787
45,1007.2341
46,1021.4894
47,1035.7446
48,1050.0
