aviris_band,data_channel,wavelength_nm
2,1,400.02
3,2,409.82
4,3,419.62
5,4,429.43
6,5,439.25
7,6,449.07
8,7,458.9
9,8,468.73
10,9,478.57
11,10,488.41
12,11,498.26
13,12,508.12
14,13,517.98
15,14,527.85
16,15,537.72
17,16,547.6
18,17,557.49
19,18,567.38
20,19,577.28
21,20,587.18
22,21,597.09
23,22,607.01
24,23,616.93
25,24,626.85
26,25,636.78
27,26,646.72
28,27,656.67
29,28,666.61
30,29,676.57
31,30,686.53
32,31,696.5
34,32,686.91
35,33,696.55
36,34,706.19
37,35,715.83
38,36,725.47
39,37,735.11
40,38,744.74
41,39,754.38
42,40,764.01
43,41,773.64
44,42,783.27
45,43,792.91
46,44,802.53
47,45,812.21
48,46,821.79
49,47,831.41
50,48,841.04
51,49,850.66
52,50,860.28
53,51,869.91
54,52,879.53
55,53,889.14
56,54,898.76
57,55,908.38
58,56,917.99
59,57,927.61
60,58,937.22
61,59,946.83
62,60,956.45
63,61,966.06
64,62,975.66
65,63,985.27
66,64,994.88
67,65,1004.48
68,66,1014.09
69,67,1023.69
70,68,1033.29
71,69,1042.89
72,70,1052.49
73,71,1062.09
74,72,1071.69
75,73,1081.29
76,74,1090.88
77,75,1100.48
78,76,1110.07
79,77,1119.66
80,78,1129.25
81,79,1138.84
82,80,1148.43
83,81,1158.02
84,82,1167.61
85,83,1177.19
86,84,1186.77
87,85,1196.36
88,86,1205.94
89,87,1215.52
90,88,1225.1
91,89,1234.68
92,90,1244.26
93,91,1253.83
94,92,1263.41
95,93,1272.98
96,94,1282.55
98,95,1273.0
99,96,1282.96
100,97,1292.93
101,98,1302.89
102,99,1312.85
103,100,1322.81
104,101,1332.77
105,102,1342.73
106,103,1352.68
107,104,1362.64
108,105,1372.59
109,106,1382.54
110,107,1392.49
111,108,1402.44
112,109,1412.39
113,110,1422.34
114,111,1432.28
115,112,1442.23
116,113,1452.17
117,114,1462.11
118,115,1472.05
119,116,1481.99
120,117,1491.92
121,118,1501.86
122,119,1511.79
123,120,1521.73
124,121,1531.66
125,122,1541.59
126,123,1551.52
127,124,1561.44
128,125,1571.37
129,126,1581.3
130,127,1591.22
131,128,1601.14
132,129,1611.06
133,130,1620.98
134,131,1630.9
135,132,1640.81
136,133,1650.73
137,134,1660.64
138,135,1670.56
139,136,1680.47
140,137,1690.38
141,138,1700.28
142,139,1710.19
143,140,1720.1
144,141,1730.0
145,142,1739.9
146,143,1749.81
147,144,1759.71
148,145,1769.6
149,146,1779.5
150,147,1789.4
151,148,1799.29
152,149,1809.19
153,150,1819.08
154,151,1828.97
155,152,1838.86
156,153,1848.75
157,154,1858.63
158,155,1868.52
159,156,1878.4
160,157,1888.28
162,158,1883.24
163,159,1893.25
164,160,1903.26
165,161,1913.26
166,162,1923.27
167,163,1933.27
168,164,1943.27
169,165,1953.26
170,166,1963.25
171,167,1973.24
172,168,1983.23
173,169,1993.22
174,170,2003.2
175,171,2013.18
176,172,2023.16
177,173,2033.13
178,174,2043.1
179,175,2053.07
180,176,2063.04
181,177,2073.0
182,178,2082.97
183,179,2092.92
184,180,2102.88
185,181,2112.83
186,182,2122.78
187,183,2132.73
188,184,2142.68
189,185,2152.62
190,186,2162.56
191,187,2172.5
192,188,2182.43
193,189,2192.37
194,190,2202.3
195,191,2260.22
196,192,2270.15
197,193,2232.07
198,194,2241.99
199,195,2251.9
200,196,2261.82
201,197,2271.73
202,198,2281.64
203,199,2291.54
204,200,2301.45
205,201,2311.35
206,202,2321.25
207,203,2331.14
208,204,2341.03
209,205,2350.92
210,206,2360.81
211,207,2370.7
212,208,2380.58
213,209,2390.46
214,210,2400.33
215,211,2410.21
216,212,2420.08
217,213,2429.95
218,214,2439.81
219,215,2449.68
220,216,2459.54
221,217,2469.4
222,218,2479.25
223,219,2489.11
224,220,2498.96
