band,wavelength_nm
1,430.0
2,434.2157
3,438.43137
4,442.64706
5,446.86273
6,451.07843
7,455.29413
8,459.5098
9,463.7255
10,467.94116
11,472.15686
12,476.37256
13,480.58823
14,484.80392
15,489.01962
16,493.2353
17,497.451
18,501.66666
19,505.88235
20,510.09805
21,514.3137
22,518.5294
23,522.7451
24,526.96075
25,531.17645
26,535.39215
27,539.60785
28,543.82355
29,548.03925
30,552.2549
31,556.4706
32,560.6863
33,564.902
34,569.1177
35,573.3333
36,577.549
37,581.7647
38,585.9804
39,590.1961
40,594.41174
41,598.62744
42,602.84314
43,607.05884
44,611.27454
45,615.4902
46,619.7059
47,623.9216
48,628.13727
49,632.35297
50,636.5686
51,640.7843
52,645.0
53,649.2157
54,653.4314
55,657.64703
56,661.86273
57,666.0784
58,670.2941
59,674.5098
60,678.72546
61,682.94116
62,687.15686
63,691.37256
64,695.58826
65,699.8039
66,704.0196
67,708.2353
68,712.451
69,716.6667
70,720.8823
71,725.098
72,729.3137
73,733.5294
74,737.7451
75,741.96075
76,746.17645
77,750.39215
78,754.60785
79,758.82355
80,763.03925
81,767.2549
82,771.4706
83,775.6863
84,779.902
85,784.1177
86,788.3333
87,792.549
88,796.7647
89,800.9804
90,805.1961
91,809.41174
92,813.62744
93,817.84314
94,822.05884
95,826.27454
96,830.4902
97,834.7059
98,838.9216
99,843.13727
100,847.35297
101,851.5686
102,855.7843
103,860.0
