band,wavelength_nm
1,401.288
2,404.59
3,407.919
4,411.279
5,414.671
6,418.1
7,421.568
8,425.078
9,428.632
10,432.235
11,435.888
12,439.595
13,443.358
14,447.182
15,451.067
16,455.019
17,459.04
18,463.134
19,467.302
20,471.55
21,475.88
22,480.298
23,484.805
24,489.406
25,494.105
26,498.906
27,503.814
28,508.832
29,513.966
30,519.221
31,524.6
32,530.109
33,535.752
34,541.537
35,547.467
36,553.547
37,559.784
38,566.183
39,572.751
40,579.491
41,586.411
42,593.518
43,600.815
44,608.309
45,616.006
46,623.912
47,632.031
48,640.368
49,648.93
50,657.721
51,666.745
52,676.005
53,685.506
54,695.249
55,705.237
56,715.473
57,725.956
58,736.686
59,747.664
60,758.887
61,770.353
62,782.06
63,794.003
64,806.177
65,818.576
66,831.195
67,844.025
68,857.059
69,870.287
70,883.702
71,897.292
72,911.048
73,924.959
74,939.015
75,953.203
76,967.514
77,981.935
78,996.454
79,1011.06
80,1025.75
81,1040.51
82,1055.31
83,1070.16
84,1085.06
85,1099.97
86,1114.9
87,1129.85
88,1144.79
89,1159.73
90,1174.65
91,1189.55
92,1204.42
93,1219.26
94,1234.06
95,1248.82
96,1263.53
97,1278.19
98,1292.78
99,1307.32
100,1321.8
101,1336.21
102,1350.55
103,1421.14
104,1435.03
105,1448.84
106,1462.57
107,1476.21
108,1489.78
109,1503.26
110,1516.67
111,1529.99
112,1543.22
113,1556.38
114,1569.46
115,1582.44
116,1595.35
117,1608.19
118,1620.93
119,1633.61
120,1646.2
121,1658.7
122,1671.14
123,1683.49
124,1695.77
125,1707.97
126,1720.1
127,1732.15
128,1744.12
129,1756.03
130,1767.86
131,1779.62
132,1791.31
133,1802.93
134,1937.15
135,1947.92
136,1958.64
137,1969.29
138,1979.89
139,1990.43
140,2000.91
141,2011.34
142,2021.71
143,2032.02
144,2042.28
145,2052.49
146,2062.64
147,2072.74
148,2082.79
149,2092.79
150,2102.74
151,2112.64
152,2122.49
153,2132.29
154,2142.04
155,2151.74
156,2161.4
157,2171.0
158,2180.57
159,2190.08
160,2199.55
161,2208.98
162,2218.36
163,2227.7
164,2237.0
165,2246.26
166,2255.47
167,2264.63
168,2273.76
169,2282.84
170,2291.89
171,2300.9
172,2309.86
173,2318.79
174,2327.67
175,2336.53
176,2345.34
177,2354.11
178,2362.84
179,2371.54
180,2380.21
181,2388.83
182,2397.42
183,2405.97
184,2414.49
185,2422.98
186,2431.42
187,2439.84
188,2448.22
189,2456.57
190,2464.88
191,2473.16
